Source	Target	Weight
9606.ENSP00000438553	9606.ENSP00000366679	0.988154
9606.ENSP00000438553	9606.ENSP00000482538	0.988144
9606.ENSP00000482538	9606.ENSP00000438553	0.988144
9606.ENSP00000435096	9606.ENSP00000435777	0.988140
9606.ENSP00000435777	9606.ENSP00000435096	0.988140
9606.ENSP00000381214	9606.ENSP00000453170	0.988134
9606.ENSP00000453170	9606.ENSP00000381214	0.988134
9606.ENSP00000256682	9606.ENSP00000440005	0.988127
9606.ENSP00000440005	9606.ENSP00000256682	0.988127
9606.ENSP00000358151	9606.ENSP00000481622	0.988123
9606.ENSP00000481622	9606.ENSP00000358151	0.988123
9606.ENSP00000476136	9606.ENSP00000481622	0.988121
9606.ENSP00000481622	9606.ENSP00000476136	0.988121
9606.ENSP00000332194	9606.ENSP00000438553	0.988120
9606.ENSP00000438553	9606.ENSP00000332194	0.988120
9606.ENSP00000386857	9606.ENSP00000402373	0.988119
9606.ENSP00000402373	9606.ENSP00000386857	0.988119
9606.ENSP00000355645	9606.ENSP00000386857	0.988109
9606.ENSP00000386857	9606.ENSP00000355645	0.988109
9606.ENSP00000289316	9606.ENSP00000366618	0.988108
9606.ENSP00000363676	9606.ENSP00000377640	0.988108
9606.ENSP00000366618	9606.ENSP00000289316	0.988108
9606.ENSP00000377640	9606.ENSP00000363676	0.988108
9606.ENSP00000479169	9606.ENSP00000483237	0.988104
9606.ENSP00000483237	9606.ENSP00000479169	0.988104
9606.ENSP00000445831	9606.ENSP00000483237	0.988096
